Week,Day,Exercise,Set #,Target Reps,completed ,Weight (LB),Notes
1,Day 1,Leg Curls,1,12,12,60,2/19/25
1,Day 1,Leg Curls,2,12,12,80,
1,Day 1,Leg Curls,3,12,12,80,
1,Day 1,Squats,1,10,10,95,
1,Day 1,Squats,2,10,10,95,
1,Day 1,Squats,3,10,10,95,
1,Day 1,Flat Bench Press,1,10,10,105,
1,Day 1,Flat Bench Press,2,8,8,105,
1,Day 1,Flat Bench Press,3,6,6,105,
1,Day 1,Lat Pulldowns,1,12,15,70,
1,Day 1,Lat Pulldowns,2,12,12,70,
1,Day 1,Lat Pulldowns,3,12,12,70,
1,Day 1,Overhead Press,1,8,8,65,
1,Day 1,Overhead Press,2,8,6,65,
1,Day 1,Overhead Press,3,6,4,65,
,,,,,,,
1,Day 2,Deadlifts,1,8,8,135,2/21/25
1,Day 2,Deadlifts,2,8,8,135,
1,Day 2,Deadlifts,3,8,8,135,
1,Day 2,Leg Extensions,1,15,15,45,
1,Day 2,Leg Extensions,2,15,15,45,
1,Day 2,Leg Extensions,3,15,15,45,
1,Day 2,Incline Dumbbell Bench Press,1,10,12,45,22.5 each hand
1,Day 2,Incline Dumbbell Bench Press,2,10,10,45,
1,Day 2,Incline Dumbbell Bench Press,3,10,10,45,
1,Day 2,Seated Cable Rows,1,12,12,70,
1,Day 2,Seated Cable Rows,2,12,12,70,
1,Day 2,Seated Cable Rows,3,12,12,70,
1,Day 2,Bicep Curls (Hammer),1,12,,15,
1,Day 2,Bicep Curls (Hammer),2,12,,15,
1,Day 2,Bicep Curls (Hammer),3,12,,15,
1,Day 2,Triceps Overhead Extensions,1,12,12,20,
1,Day 2,Triceps Overhead Extensions,2,12,,20,
1,Day 2,Triceps Overhead Extensions,3,12,,20,
1,Day 2,Hanging Leg Raises,1,8,,BW,
1,Day 2,Hanging Leg Raises,2,8,,BW,
1,Day 2,Hanging Leg Raises,3,8,,BW,
,,,,,,,
1,Day 3,Leg Press,1,10,10,140,2/24/25
1,Day 3,Leg Press,2,10,9,140,
1,Day 3,Leg Press,3,10,10,140,
1,Day 3,Seated Calf Raises,1,12,10,90,
1,Day 3,Seated Calf Raises,2,12,10,90,
1,Day 3,Seated Calf Raises,3,12,10,90,
1,Day 3,Dumbbell Bench Press,1,12,12,45,22.5 each hand
1,Day 3,Dumbbell Bench Press,2,12,12,45,
1,Day 3,Dumbbell Bench Press,3,12,15,45,
1,Day 3,Lateral Raises,1,10,10,10,
1,Day 3,Lateral Raises,2,10,10,10,
1,Day 3,Lateral Raises,3,10,,10,
1,Day 3,Cable Rows,1,8,,70,
1,Day 3,Cable Rows,2,9,,70,
1,Day 3,Cable Rows,3,10,,70,
1,Day 3,Ab Rollouts,1,8,,BW,
1,Day 3,Ab Rollouts,2,8,,BW,
1,Day 3,Ab Rollouts,3,8,,BW,